settlement_id,amount_paise,fees_paise,tax_paise,utr,payment_count,status,created_at,settled_at
setl_wT4swNh5Fhe3UG,1989318,40748,7334,HDFC094805120682,5,processed,2025-04-19T01:15:00,2025-04-21
setl_4OpHP9sP7QT5bE,6843403,70237,12642,SBIN290291447368,11,processed,2025-04-20T01:15:00,2025-04-21
setl_KLPbndxwBDidoL,5427401,21379,3849,UTIB774563641292,7,processed,2025-04-21T01:15:00,2025-04-22
setl_xBGj7NdtKtOoK4,3150656,40545,7299,YESB418211576577,8,processed,2025-04-22T01:15:00,2025-04-23
setl_W1QZjz3Po0gX4V,3150656,53490,9628,ICIC676136710383,7,processed,2025-04-23T01:15:00,2025-04-24
setl_i2jJO1ygcvVWvZ,2476717,39474,7106,IDFB381195482906,9,processed,2025-04-24T01:15:00,2025-04-25
setl_ontzoU8WpuFjRt,2116482,6372,1146,IDFB844992646732,5,processed,2025-04-25T01:15:00,2025-04-26
setl_nNwThKhckXgz8u,871924,17860,3216,YESB090583468207,3,processed,2025-04-25T01:15:00,2025-04-26
setl_1f23Yen8hgkCov,2124253,6395,1152,YESB055454219969,5,processed,2025-04-26T01:15:00,2025-04-28
setl_9rTwvyzmXXtm8t,1229483,25184,4533,HDFC827716747980,4,processed,2025-04-26T01:15:00,2025-04-28
setl_CcgYmCeGu8h0BR,5175090,15581,2805,KKBK605390458528,7,processed,2025-04-27T01:15:00,2025-04-28
setl_YEBakP0dwN8WK2,2070772,42416,7634,SBIN948395736585,4,processed,2025-04-27T01:15:00,2025-04-28
setl_i8EOtwFwW7b8Be,5360133,26061,4690,YESB303902071067,7,processed,2025-04-28T01:15:00,2025-04-29
setl_4fOocqaMZIsq56,8351306,151899,27342,KKBK621059095225,12,processed,2025-04-29T01:15:00,2025-04-30
setl_zrJfKzzaLI3tky,3044480,55193,9935,IDFB273977416701,10,processed,2025-04-30T01:15:00,2025-05-01
setl_4OPLkcty0yP3sl,3369557,23512,4231,SBIN006070491794,10,processed,2025-05-01T01:15:00,2025-05-02
setl_x9ijwcAgRMjZQE,4550658,31392,5650,UTIB292366933302,10,processed,2025-05-02T01:15:00,2025-05-03
setl_2ixuLqPtFyOavH,5821783,60758,10935,KKBK514350865792,10,processed,2025-05-03T01:15:00,2025-05-05
setl_0EvTXMGTYLPm9A,8138862,66364,11946,ICIC532653674608,14,processed,2025-05-04T01:15:00,2025-05-05
setl_Iiz7qUkZpBO86U,6109488,58653,10559,KKBK587825467879,8,processed,2025-05-05T01:15:00,2025-05-06
setl_qC7NqtX01SMe19,3005018,32830,5910,ICIC178127710898,8,processed,2025-05-06T01:15:00,2025-05-07
setl_IfgnJoxOf8Cf4H,4966532,90250,16245,YESB749203914327,10,processed,2025-05-07T01:15:00,2025-05-08
setl_wsY0KlmQgrWOI7,2409186,35757,6436,SBIN073136344150,8,processed,2025-05-08T01:15:00,2025-05-09
setl_yFwrDVhiy3f9pV,5029815,15143,2726,ICIC353561822370,6,processed,2025-05-09T01:15:00,2025-05-10
setl_e1AYtbDLvu1EEG,1604712,32870,5918,HDFC550245324033,4,processed,2025-05-09T01:15:00,2025-05-10
setl_rBg4shLOpllZl4,2874188,8653,1559,HDFC447198916727,5,processed,2025-05-10T01:15:00,2025-05-12
setl_GvnmnVOVu1xzDl,1222941,25050,4509,IDFB355976451394,4,processed,2025-05-10T01:15:00,2025-05-12
setl_IHxDfqTYA8mSCY,2707163,8151,1468,ICIC443196230454,8,processed,2025-05-11T01:15:00,2025-05-12
setl_cJzpAwRPB7eNu7,1578629,32336,5821,HDFC442018994762,5,processed,2025-05-11T01:15:00,2025-05-12
setl_9zFkPplN9yMkFJ,2392300,7203,1297,KKBK059585808744,3,processed,2025-05-12T01:15:00,2025-05-13
setl_j0hINPkbJOPZMm,2374506,48523,8734,IDFB008187671588,3,processed,2025-05-12T01:15:00,2025-05-13
setl_iQSPBi0CTt8zGA,5726342,48322,8699,UTIB305708876417,10,processed,2025-05-13T01:15:00,2025-05-14
setl_pjBjCtsXlrgYOg,3389109,15512,2792,YESB359155754026,9,processed,2025-05-14T01:15:00,2025-05-15
setl_Oz2WqDG2eWumM0,1952335,10545,1899,UTIB021959861136,9,processed,2025-05-15T01:15:00,2025-05-16
setl_bXkglEtN1VDZc0,3570419,18014,3243,YESB350347883667,11,processed,2025-05-16T01:15:00,2025-05-17
setl_XTSXES6E6pNBwN,2238858,6741,1212,KKBK536945410731,10,processed,2025-05-17T01:15:00,2025-05-19
setl_uq9Ql0HeACZEp5,3267531,66930,12048,HDFC116564598856,2,processed,2025-05-17T01:15:00,2025-05-19
setl_4DCGIBvlxPvyQX,7112260,91635,16495,UTIB248820558934,14,processed,2025-05-18T01:15:00,2025-05-19
setl_8NHxZwfT3sxzmG,2663949,25298,4553,KKBK160487464340,5,processed,2025-05-19T01:15:00,2025-05-20
setl_w8jDzUTqhPXwVB,2664161,36472,6564,ICIC507900017410,12,processed,2025-05-20T01:15:00,2025-05-21
setl_PCpqGCg7BTt1n7,2043484,8875,1598,IDFB572681984183,6,processed,2025-05-21T01:15:00,2025-05-22
setl_zkGYMq2dt30OrN,9257847,126223,22721,KKBK764506431034,10,processed,2025-05-22T01:15:00,2025-05-23
setl_0Letj9yrokVRIP,4529214,40665,7321,KKBK384592154889,7,processed,2025-05-23T01:15:00,2025-05-24
setl_ThfRnt3B1d0VhM,3388024,49241,8864,ICIC282956907597,10,processed,2025-05-24T01:15:00,2025-05-26
setl_J2PMBkXBpQ0QcT,282595,852,153,HDFC824333429010,7,processed,2025-05-25T01:15:00,2025-05-26
setl_71LwpeWkyrPT0d,4099531,79295,14274,UTIB926318053198,6,processed,2025-05-25T01:15:00,2025-05-26
setl_ciyVqcLWrN0Hl8,1142374,21835,3930,UTIB469166426430,5,processed,2025-05-26T01:15:00,2025-05-27
setl_pkUKsD3gdPcVxQ,283139,5785,1040,YESB196383822195,8,processed,2025-05-27T01:15:00,2025-05-28
setl_haAaQMnAH8n7pq,1033446,3111,560,UTIB367947991052,4,processed,2025-05-28T01:15:00,2025-05-29
setl_FSGyHOANDrzj2U,1163380,23830,4290,IDFB631337861480,5,processed,2025-05-28T01:15:00,2025-05-29
setl_jnuri38fo7sMjC,462257,1392,251,IDFB570723853227,3,processed,2025-05-29T01:15:00,2025-05-30
setl_hVLunKHzRsIHI9,5909314,110961,19972,SBIN327736301218,6,processed,2025-05-29T01:15:00,2025-05-30
setl_H3UnuOiQ3c6KS1,12336536,60818,10946,KKBK870147575042,15,processed,2025-05-30T01:15:00,2025-05-31
setl_NbJ2qTME2hCE3K,4659731,44669,8041,SBIN688002972238,13,processed,2025-05-31T01:15:00,2025-06-02
setl_16hUKEDHfsQSsm,4348950,52119,9383,SBIN910479333121,17,processed,2025-06-01T01:15:00,2025-06-02
setl_VhZu6f6hBfBhRT,1521595,4581,824,HDFC504067040597,3,processed,2025-06-02T01:15:00,2025-06-03
setl_6yPrPteGeQj9DL,1521595,31167,5610,YESB316508058029,3,processed,2025-06-02T01:15:00,2025-06-03
setl_qHcqVMuQWx4XE1,5924306,106859,19235,ICIC056683877971,9,processed,2025-06-03T01:15:00,2025-06-04
setl_FczN44pxVM3pX2,3486461,49817,8966,IDFB214751368951,8,processed,2025-06-04T01:15:00,2025-06-05
setl_u4CgUHArCowcE2,4425410,48346,8701,IDFB809588777825,7,processed,2025-06-05T01:15:00,2025-06-06
setl_qnO6kHYqPI6nl8,3562433,48234,8683,YESB167997511171,9,processed,2025-06-06T01:15:00,2025-06-07
setl_LXBmnUFBXfpRvE,7011505,38954,7012,IDFB838405909826,10,processed,2025-06-07T01:15:00,2025-06-09
setl_tAYBt2FClX2ZwW,9624148,105222,18941,IDFB718402281364,15,processed,2025-06-08T01:15:00,2025-06-09
setl_jYa24Xwphe0kKk,7559969,68759,12377,KKBK841026185318,7,processed,2025-06-09T01:15:00,2025-06-10
setl_dWbQToZOUi7Noa,7193565,59166,10650,UTIB252525466218,11,processed,2025-06-10T01:15:00,2025-06-11
setl_4DgekV8B8S4QL7,1631594,12282,2211,IDFB550246685114,11,processed,2025-06-11T01:15:00,2025-06-12
setl_FsCFcmzGiiWfGB,12743931,107354,19324,HDFC701280354775,13,processed,2025-06-12T01:15:00,2025-06-13
setl_hMyIeRaHel90mo,1493793,4498,809,YESB646319194692,6,processed,2025-06-13T01:15:00,2025-06-14
setl_9IfyGWU1TujH72,3178767,65112,11721,HDFC985920696216,3,processed,2025-06-13T01:15:00,2025-06-14
setl_GrTHucmE7oLIlp,3687605,67284,12111,SBIN732495292352,11,processed,2025-06-14T01:15:00,2025-06-16
setl_gU7RuvzFOWt5IV,3665507,28602,5148,KKBK381028899524,12,processed,2025-06-15T01:15:00,2025-06-16
setl_0WHC9wBot0QsSr,5623875,56565,10183,UTIB724697112874,8,processed,2025-06-16T01:15:00,2025-06-17
setl_YnMH0wZDC0CHrv,101838,307,55,HDFC989871490502,3,processed,2025-06-17T01:15:00,2025-06-18
setl_V4RrnQMdLLCfmw,1257395,25682,4623,IDFB610369544244,7,processed,2025-06-17T01:15:00,2025-06-18
setl_kzv3xveqLomx9h,1435963,9166,1650,YESB169437716334,8,processed,2025-06-18T01:15:00,2025-06-19
setl_R1Txn5yzZueCwN,2842146,26938,4849,KKBK586226173946,8,processed,2025-06-19T01:15:00,2025-06-20
setl_1jpkSgpmNN3NZH,2203443,23668,4259,KKBK781860462839,8,processed,2025-06-20T01:15:00,2025-06-21
setl_D4tLAimhY1OQvM,3750602,43856,7895,UTIB633495365399,9,processed,2025-06-21T01:15:00,2025-06-23
setl_Nu1pnrC96XiS4a,4663168,21641,3897,YESB099312280283,13,processed,2025-06-22T01:15:00,2025-06-23
setl_BSbaZYgI6qQ34M,1566156,5800,1044,KKBK474426560674,5,processed,2025-06-23T01:15:00,2025-06-24
setl_50xLBJWxlxTGaL,6263019,56627,10193,HDFC346056054294,11,processed,2025-06-24T01:15:00,2025-06-25
setl_pvRHq7tiUmlCkj,3236839,24921,4485,SBIN174212059869,11,processed,2025-06-25T01:15:00,2025-06-26
setl_nlvFRTtSJmctDW,3237639,68120,12259,UTIB122168758057,10,processed,2025-06-26T01:15:00,2025-06-27
setl_FSUSiBrVDTHkay,6175043,44771,8058,UTIB195913010304,11,processed,2025-06-27T01:15:00,2025-06-28
setl_6GfMbyomxhPKty,6718132,93587,16846,IDFB316703495369,13,processed,2025-06-28T01:15:00,2025-06-30
setl_CfKBXkefjeU4aB,8276463,67583,12166,ICIC445069424987,15,processed,2025-06-29T01:15:00,2025-06-30
setl_DNuuVtS7W3FATE,7033678,24186,4354,HDFC005943015274,9,processed,2025-06-30T01:15:00,2025-07-01
