line_id,period,gstin,vendor_name,invoice_no,invoice_date,taxable_value_paise,gst_paise,tax_head
2B000017,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/12257,2025-04-17,213104,38359,cgst_sgst
2B000018,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/14118,2025-04-25,279615,50331,cgst_sgst
2B000019,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/27918,2025-04-10,118438,21319,cgst_sgst
2B000020,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/54611,2025-04-15,220431,39678,cgst_sgst
2B000021,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/71218,2025-04-22,66546,11978,cgst_sgst
2B000022,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/76121,2025-04-14,210358,37865,cgst_sgst
2B000023,2025-04,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/96986,2025-04-30,252085,45375,cgst_sgst
2B000024,2025-04,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/25347,2025-04-24,227029,40865,cgst_sgst
2B000025,2025-04,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/30012,2025-04-28,37601,5968,cgst_sgst
2B000026,2025-04,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/44406,2025-04-26,206941,37249,igst
2B000027,2025-04,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/55220,2025-04-30,214959,38693,cgst_sgst
2B000028,2025-04,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/65788,2025-04-28,183171,32971,cgst_sgst
2B000029,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/23294,2025-04-05,101841,18331,cgst_sgst
2B000030,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/23811,2025-04-03,22698,4086,cgst_sgst
2B000031,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/38780,2025-04-05,25015,4503,cgst_sgst
2B000032,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/47290,2025-04-19,159397,28691,cgst_sgst
2B000033,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/64228,2025-04-10,121972,21955,cgst_sgst
2B000034,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/79009,2025-04-19,168392,30310,cgst_sgst
2B000035,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/84877,2025-04-17,79723,14350,cgst_sgst
2B000036,2025-04,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/89329,2025-04-28,152183,27393,cgst_sgst
2B000037,2025-04,29AAGCR4375J1ZU,RAZORPAY SOFTWARE PVT LTD,RZP/202504,2025-04-30,1267239,228104,cgst_sgst
2B000038,2025-04,29AAGFU7331Q1ZC,URBAN LADDER PROPERTIES,ULP/08423,2025-04-01,4661017,838983,cgst_sgst
2B000039,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/17747,2025-05-31,395799,71244,igst
2B000040,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/27842,2025-05-27,161947,29150,igst
2B000041,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/30495,2025-05-30,124580,22424,igst
2B000042,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/37705,2025-05-26,296859,53435,igst
2B000043,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/49707,2025-05-08,429506,77311,igst
2B000044,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/54394,2025-05-30,355521,63994,igst
2B000045,2025-05,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/67068,2025-05-19,272853,49113,igst
2B000046,2025-05,07AAACB2894G1ZH,BHARTI AIRTEL LTD,BAL/54558,2025-05-12,211780,38120,igst
2B000047,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/19969,2025-05-17,33211,5978,igst
2B000048,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/31043,2025-05-29,75246,13544,igst
2B000049,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/35335,2025-05-26,36012,6482,igst
2B000050,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/41121,2025-05-19,47013,8462,igst
2B000051,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/42549,2025-05-17,149647,26936,igst
2B000052,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/76756,2025-05-21,158214,28479,igst
2B000053,2025-05,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/86418,2025-05-20,55669,10021,igst
2B000054,2025-05,27AABCA9603P1ZL,AMAZON WEB SERVICES INDIA PL,AWSIN/20157,2025-05-05,1575279,283550,igst
2B000055,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/33543,2025-05-15,98464,17723,igst
2B000056,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/48571,2025-04-03,65209,11738,igst
2B000057,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/75803,2025-05-16,35089,6316,igst
2B000058,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/78477,2025-05-28,42148,7587,igst
2B000059,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/83706,2025-05-31,204956,36892,igst
2B000060,2025-05,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/90975,2025-05-29,186868,33636,igst
2B000061,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/11901,2025-05-17,195545,32598,cgst_sgst
2B000062,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/17956,2025-05-23,74376,13388,cgst_sgst
2B000063,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/36240,2025-05-21,210202,37836,cgst_sgst
2B000064,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/40072,2025-05-05,174944,31490,cgst_sgst
2B000065,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/43515,2025-04-16,49522,8914,cgst_sgst
2B000066,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/44213,2025-05-26,212256,38206,cgst_sgst
2B000067,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/50862,2025-05-29,141839,25531,cgst_sgst
2B000068,2025-05,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/89757,2025-05-14,136375,24547,cgst_sgst
2B000069,2025-05,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/27718,2025-05-27,193200,34776,cgst_sgst
2B000070,2025-05,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/35094,2025-05-23,232693,41885,cgst_sgst
2B000071,2025-05,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/48993,2025-05-24,180674,32521,cgst_sgst
2B000072,2025-05,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/83685,2025-05-27,81371,14647,cgst_sgst
2B000073,2025-05,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/94652,2025-05-28,82566,14862,cgst_sgst
2B000074,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/39786,2025-05-16,130597,23508,cgst_sgst
2B000075,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/40450,2025-05-12,202520,36454,cgst_sgst
2B000076,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/44463,2025-05-23,63167,11370,cgst_sgst
2B000077,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/68902,2025-05-20,33105,5959,cgst_sgst
2B000078,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/69343,2025-05-15,138985,25017,cgst_sgst
2B000079,2025-05,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/79090,2025-05-30,73064,13152,cgst_sgst
2B000080,2025-05,29AAGCR4375J1ZU,RAZORPAY SOFTWARE PVT LTD,RZP/202505,2025-05-31,1474466,265410,cgst_sgst
2B000081,2025-05,29AAGFU7331Q1ZC,URBAN LADDER PROPERTIES,ULP/72175,2025-05-01,4661017,838983,cgst_sgst
2B000082,2025-06,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/35683,2025-06-27,447308,80515,igst
2B000083,2025-06,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/54994,2025-06-16,495390,89170,igst
2B000084,2025-06,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/57917,2025-06-20,462957,83332,igst
2B000085,2025-06,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/98863,2025-06-02,226166,40710,igst
2B000086,2025-06,06AAECM4763T1ZF,MAKEMYTRIP HOLIDAYS,MMT/99875,2025-06-12,200865,36156,igst
2B000087,2025-06,07AAACB2894G1ZH,BHARTI AIRTEL LTD,BAL/44359,2025-06-12,211780,38120,igst
2B000088,2025-06,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/34990,2025-06-21,30392,5470,igst
2B000089,2025-06,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/63144,2025-06-18,144132,25944,igst
2B000090,2025-06,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/86056,2025-06-05,135197,24336,igst
2B000091,2025-06,27AAACB0446L1ZS,BLUE DART EXPRESS LTD,BDE/95597,2025-06-01,78073,14053,igst
2B000092,2025-06,27AABCA9603P1ZL,AMAZON WEB SERVICES INDIA PL,AWSIN/42585,2025-06-05,1549439,278899,igst
2B000093,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/29517,2025-06-06,149517,26913,igst
2B000094,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/58096,2025-06-12,91881,16539,igst
2B000095,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/58096,2025-06-12,91881,16539,igst
2B000096,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/61768,2025-06-19,27005,4861,igst
2B000097,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/65726,2025-06-13,25814,4646,igst
2B000098,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/77056,2025-06-10,68338,12301,igst
2B000099,2025-06,27AAECV4031B1ZQ,VISTAPRINT MARKETING,VP/87558,2025-06-26,175114,31521,igst
2B000100,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/26659,2025-06-05,241577,43484,cgst_sgst
2B000101,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/41113,2025-06-24,125561,22601,cgst_sgst
2B000102,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/59243,2025-06-06,159207,28657,cgst_sgst
2B000103,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/60696,2025-06-09,208033,37446,igst
2B000104,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/85867,2025-06-16,228291,41092,cgst_sgst
2B000105,2025-06,29AAACD8017H1ZN,DTDC EXPRESS LTD,DTDC/85867,2025-06-16,228291,41092,cgst_sgst
2B000106,2025-06,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/21623,2025-06-12,156020,28084,cgst_sgst
2B000107,2025-06,29AABCF4571C1ZW,BIG BAZAAR RETAIL,BBR/87188,2025-06-23,233760,42077,cgst_sgst
2B000108,2025-06,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/43055,2025-06-02,63525,11435,cgst_sgst
2B000109,2025-06,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/47287,2025-06-07,60001,10800,cgst_sgst
2B000110,2025-06,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/82789,2025-06-20,187947,33831,cgst_sgst
2B000111,2025-06,29AAFCB7707D1ZP,SWIGGY INSTAMART,SWG/91289,2025-06-23,117214,21099,cgst_sgst
2B000112,2025-06,29AAGCR4375J1ZU,RAZORPAY SOFTWARE PVT LTD,RZP/202506,2025-06-30,1491774,268522,cgst_sgst
2B000113,2025-06,29AAGFU7331Q1ZC,URBAN LADDER PROPERTIES,ULP/88276,2025-06-02,4661017,838983,cgst_sgst
