payment_id,order_id,method,amount_paise,fee_paise,tax_paise,status,created_at,settlement_id
pay_JCeVQrwDtIEr9o,order_9QcCknoeJ4XaRK,card,656100,13122,2362,captured,2025-04-03T15:31:43,setl_fhWQo4Um9MuZJm
pay_VRNAsj260PGEDH,order_qf9uWBwAaKYlAF,upi,477800,1433,258,captured,2025-04-03T08:31:35,setl_fhWQo4Um9MuZJm
pay_XDA9B3D2UDjqb7,order_qf9uWBwAaKYlAF,upi,477800,1433,258,failed,2025-04-03T07:35:13,
pay_WXVPku13g4W0jN,order_76DfCURyMTyso7,upi,166300,499,90,captured,2025-04-03T09:43:31,setl_fhWQo4Um9MuZJm
pay_HvD45a0yy1CoRw,order_Sw16fdmNhdyJKG,upi,172600,518,93,captured,2025-04-03T20:37:14,setl_fhWQo4Um9MuZJm
pay_0rmbHeiOyZLdN8,order_IMTn1lQfObkzLT,upi,787400,2362,425,captured,2025-04-04T18:49:29,setl_SnClBzlpG4fOCM
pay_PQ2g8XXpj4kEbZ,order_8xM0mFn52mtNQu,upi,80700,242,44,captured,2025-04-04T09:00:12,setl_SnClBzlpG4fOCM
pay_YnISeEXEB3LI02,order_Gjasy2BmoGlnZQ,upi,208200,625,113,captured,2025-04-04T16:57:47,setl_SnClBzlpG4fOCM
pay_E83BsRhcwBO61z,order_VjhFVKW2XcIpNE,card,52500,1050,189,captured,2025-04-04T12:25:59,setl_f19thxprFFRmtn
pay_eqKT2GC0VusmcP,order_YMdcLPQd7SYDnB,upi,70100,210,38,captured,2025-04-04T08:29:38,setl_SnClBzlpG4fOCM
pay_8caOHWziVBeIo5,order_0Di0fFdruiYdL3,upi,1748300,5245,944,captured,2025-04-04T11:05:41,setl_SnClBzlpG4fOCM
pay_aE8S28qtFbex4s,order_NoFOcGrZhoFMUH,upi,310700,932,168,captured,2025-04-04T10:34:06,setl_SnClBzlpG4fOCM
pay_iXpRxdaFkD5yS7,order_MfAAxQElClobHH,upi,449186,1348,243,captured,2025-04-04T20:57:31,setl_SnClBzlpG4fOCM
pay_Ieezs2VxnfYRRC,order_wtdqerM36iphqK,upi,18400,55,10,captured,2025-04-04T09:09:42,setl_SnClBzlpG4fOCM
pay_orJQ7BOmtJHE6o,order_wtdqerM36iphqK,upi,18400,55,10,failed,2025-04-04T15:45:48,
pay_W85BB2ao9Q5yNm,order_HIfdBEjyN0BSUS,upi,116400,349,63,captured,2025-04-05T15:07:12,setl_QjRZnyUYkHJoNG
pay_kDEtoIqe0wNopy,order_ii6FVyy84WWUpQ,wallet,2154100,43082,7755,captured,2025-04-05T18:18:13,setl_QjRZnyUYkHJoNG
pay_9opyHC6C69ljkv,order_etqskkhfCpG1NV,upi,334900,1005,181,captured,2025-04-05T13:42:41,setl_QjRZnyUYkHJoNG
pay_FXek9beDwfauSb,order_ZJBWK55yhSapRw,card,2073200,41464,7464,captured,2025-04-05T09:35:24,setl_QjRZnyUYkHJoNG
pay_Bj7LtvLA5uh321,order_GUgbNe371XYEpt,card,22300,446,80,captured,2025-04-05T07:42:23,setl_QjRZnyUYkHJoNG
pay_7SNGKWrxtzjlHT,order_qjcFzUvfEwqq0o,card,108200,2164,390,captured,2025-04-05T19:31:57,setl_QjRZnyUYkHJoNG
pay_76iqStRW01pNFg,order_yzekwYUmubPpxj,upi,89300,268,48,captured,2025-04-05T07:18:27,setl_QjRZnyUYkHJoNG
pay_xiOCOoDpWYRGYH,order_7kfZGIxoVGTwtx,upi,74400,223,40,captured,2025-04-05T22:01:33,setl_QjRZnyUYkHJoNG
pay_JcKPYOPSCoriMh,order_kDBPNhbxlAUOeJ,upi,1527200,4582,825,captured,2025-04-05T20:24:07,setl_QjRZnyUYkHJoNG
pay_zDLN4XbeLVUD2G,order_6YIwl3ibGR7JlH,card,59200,1184,213,captured,2025-04-06T19:24:43,setl_XIfdcDLQk8EPyh
pay_Asf5wPj7fgRNwU,order_OBZ00L1iu8Tezl,upi,2125900,6378,1148,captured,2025-04-06T07:57:48,setl_HMcYAO4VYp3Xeo
pay_t7h2aKlh7EiERo,order_IJIILz2Fq1UUyk,upi,104200,313,56,captured,2025-04-06T11:34:27,setl_HMcYAO4VYp3Xeo
pay_JDM5ExiCHTwKqI,order_MnVvdqol8ri2pb,upi,107300,322,58,captured,2025-04-06T12:10:23,setl_HMcYAO4VYp3Xeo
pay_9jKtVvvEYDmmvu,order_SH19lu8GarpWnw,card,31100,622,112,captured,2025-04-06T19:49:51,setl_XIfdcDLQk8EPyh
pay_paoBxR6gA05tl9,order_ZRr7D2QYYKoUAd,upi,28700,86,15,captured,2025-04-07T10:40:38,setl_7cDJyw1X4e2DeI
pay_aGGUUTkPCyVgPt,order_R0rjd3htIfsKW0,netbanking,147700,2511,452,captured,2025-04-07T10:42:20,setl_7cDJyw1X4e2DeI
pay_Fuush4xWphbCRk,order_f4pRpQwhEv4KDx,upi,735500,2207,397,captured,2025-04-07T09:13:52,setl_7cDJyw1X4e2DeI
pay_wcqj2i3khqWD5u,order_kYIW9eQOwn6ori,card,9800,196,35,captured,2025-04-07T19:08:56,setl_7cDJyw1X4e2DeI
pay_5TLcJzAVkVwH3a,order_XrAlcSX5Bo9OnY,upi,2531400,7594,1367,captured,2025-04-07T21:59:49,setl_7cDJyw1X4e2DeI
pay_jB2XAKo5cvoRWh,order_CXmoNBXvKwMgLp,netbanking,79044,1344,242,captured,2025-04-07T19:48:05,setl_7cDJyw1X4e2DeI
pay_pgthKC6GgawruP,order_vbVOLwBZnEcUGL,upi,713400,2140,385,captured,2025-04-07T07:35:09,setl_7cDJyw1X4e2DeI
pay_c3uXF1B36USduj,order_BkfO7YtKA66Rm4,card,77900,1558,280,captured,2025-04-08T15:24:01,setl_kewZKQthcYxyI6
pay_KfApslbkQZ8K5E,order_dVBRIZSBtAohFY,card,423591,8472,1525,captured,2025-04-08T20:53:29,setl_kewZKQthcYxyI6
pay_CHHKtNCw2TG8Ve,order_9H7FMRcNqLdSNW,upi,674100,2022,364,captured,2025-04-08T14:25:59,setl_kewZKQthcYxyI6
pay_yix2lobi4uHiCT,order_3AtqkJBqDGfUro,upi,24800,74,13,captured,2025-04-08T16:31:53,setl_kewZKQthcYxyI6
pay_7RFeHtNmkIJM4b,order_1nFgKVvRfSC3Ac,wallet,195000,3900,702,captured,2025-04-08T10:40:20,setl_kewZKQthcYxyI6
pay_KmNpctUWX4m6ut,order_eluDEzshwgPGHa,wallet,11900,238,43,captured,2025-04-08T16:35:03,setl_kewZKQthcYxyI6
pay_woc10fgfpT7Nkf,order_Xk3xXrimRDKnAX,netbanking,8500,145,26,captured,2025-04-08T18:01:39,setl_kewZKQthcYxyI6
pay_SuXVMPG7lE3XpG,order_MH4v6wt8jTzRWU,card,1045081,20902,3762,captured,2025-04-09T09:21:17,setl_wYvH3Rg3TtnxHa
pay_nXC4tmEttRLO2H,order_b8u11RK60Fweq0,card,44900,898,162,captured,2025-04-09T12:58:49,setl_wYvH3Rg3TtnxHa
pay_Hu0glDY0pRyEn0,order_Q5qpIGVvm8xALp,upi,2764400,8293,1493,captured,2025-04-09T17:36:19,setl_wYvH3Rg3TtnxHa
pay_P1bg3zxwFK7Gpv,order_VNs8y4f9efMeTD,upi,397400,1192,215,captured,2025-04-09T08:23:01,setl_wYvH3Rg3TtnxHa
pay_LxMj9Vzpds450r,order_MPJBIUUMqt8S1X,upi,60500,182,33,captured,2025-04-09T19:55:34,setl_wYvH3Rg3TtnxHa
pay_TurD9gwnZHeDQx,order_iniLBRMYGiAWY0,upi,477484,1432,258,captured,2025-04-09T22:15:56,setl_wYvH3Rg3TtnxHa
pay_KIMU5DOsZaAGDM,order_HgKSUreAdqqGmc,upi,88900,267,48,captured,2025-04-09T21:06:28,setl_wYvH3Rg3TtnxHa
pay_Yj9nySVnt2T48N,order_pYRT6I7EJUsxTG,upi,2081400,6244,1124,captured,2025-04-09T22:11:57,setl_wYvH3Rg3TtnxHa
pay_PTSb8EsIBZ1x6x,order_SNa6S9qa6jH1N7,upi,187100,561,101,captured,2025-04-09T21:46:11,setl_wYvH3Rg3TtnxHa
pay_Dt4lpCIo3VJ4y9,order_YAyUswMtEbg3XT,netbanking,9300,158,28,captured,2025-04-09T11:48:05,setl_wYvH3Rg3TtnxHa
pay_dRUP6hD85ALEBz,order_Kx6FaV4eym8FAw,card,239300,4786,861,captured,2025-04-09T22:06:54,setl_wYvH3Rg3TtnxHa
pay_bCmiaDLQU8uylv,order_OQvMjcrmSKSWLI,upi,41421,124,22,captured,2025-04-10T10:20:16,setl_rmZRuf2IrjOaoz
pay_gqB5xsKImEim55,order_8bDhidA0KIOq93,upi,12700,38,7,captured,2025-04-10T07:31:09,setl_rmZRuf2IrjOaoz
pay_up1n9UXRlswNca,order_Sx70Tz6D0b9SgX,upi,392800,1178,212,captured,2025-04-10T22:15:45,setl_rmZRuf2IrjOaoz
pay_rHhV2PZhEpg2op,order_Sx70Tz6D0b9SgX,upi,392800,1178,212,failed,2025-04-10T12:40:05,
pay_t3immUWIplB2Sy,order_OUIIRLueB5XB1m,card,26500,530,95,captured,2025-04-10T13:42:41,setl_rmZRuf2IrjOaoz
pay_36mC2w3tKHJNnD,order_aiwBkplzmrSeDL,upi,2860500,8582,1545,captured,2025-04-10T17:12:28,setl_rmZRuf2IrjOaoz
pay_DreOHf46jEGW3C,order_njw2cYTMjEcVAa,card,1296000,25920,4666,captured,2025-04-10T14:24:31,setl_rmZRuf2IrjOaoz
pay_wfx8WCZosnTw8N,order_9BgZkuRlMbjz5Z,upi,46900,141,25,captured,2025-04-10T19:26:42,setl_rmZRuf2IrjOaoz
pay_2oKQKVooNEyylB,order_TfkIcQGmoUgLXB,wallet,175400,3508,631,captured,2025-04-10T07:37:46,setl_rmZRuf2IrjOaoz
pay_Q6o7fc8MfEw15K,order_eOxYPDpuhEcfY0,upi,1760900,5283,951,captured,2025-04-10T17:30:46,setl_rmZRuf2IrjOaoz
pay_oTyjAfaWst6vnS,order_kDGAzjwA8UzLYa,upi,28600,86,15,captured,2025-04-11T14:09:45,setl_j8vhr5uiipN1Cp
pay_JtriX03IVxOlPd,order_yh9u7rKC4f2Y1Z,upi,84723,254,46,captured,2025-04-11T18:23:25,setl_j8vhr5uiipN1Cp
pay_F7FYoth7LpGPre,order_p7wvPp1Oc1YvsG,wallet,2561600,51232,9222,captured,2025-04-11T20:13:38,setl_j8vhr5uiipN1Cp
pay_9IB68rf7byXmsU,order_FTXRGbqc49nF5S,upi,337300,1012,182,captured,2025-04-11T20:36:59,setl_j8vhr5uiipN1Cp
pay_DnBCiJQbjr5shf,order_T4QlRgvcwa6cUX,wallet,101800,2036,366,captured,2025-04-11T10:37:16,setl_j8vhr5uiipN1Cp
pay_z5u0TLUyv0Ap6x,order_sPMNpUt9NuBmtU,upi,69700,209,38,captured,2025-04-11T12:19:35,setl_j8vhr5uiipN1Cp
pay_tmlxcBmgQQqfW4,order_W8Tt5nS5VrbURr,netbanking,62100,1056,190,captured,2025-04-11T19:44:04,setl_j8vhr5uiipN1Cp
pay_qD8yGERRSRWnMi,order_3divrgUsuVBNVe,upi,28000,84,15,captured,2025-04-11T09:12:27,setl_j8vhr5uiipN1Cp
pay_VJYxk5akxbmEA0,order_43kIVdzfeYRjok,card,10600,212,38,captured,2025-04-11T17:04:29,setl_j8vhr5uiipN1Cp
pay_wDgfKIGaVx7HMl,order_Kiezl6fNVqL2fa,upi,11700,35,6,captured,2025-04-11T09:12:07,setl_j8vhr5uiipN1Cp
pay_PuqqlNuNxK4okS,order_qYvfLXdNNcZ4CM,upi,923800,2771,499,captured,2025-04-12T20:49:21,setl_0FBE9u5sltsNRb
pay_Sv32B6wKF9yH6w,order_RBFlUdekOesE2m,upi,11704,35,6,captured,2025-04-12T17:01:29,setl_0FBE9u5sltsNRb
pay_SuBq8wqBW9jeq2,order_ZHm20j2gSB7nl9,netbanking,222900,3789,682,captured,2025-04-12T19:41:45,setl_36QtCtfIMZ5L59
pay_UO7KzHqH2ahEgB,order_8RH7n6A8RseeAF,upi,801400,2404,433,captured,2025-04-12T10:25:16,setl_0FBE9u5sltsNRb
pay_hyJVHhL7UpFcqI,order_uAshUBAsBIEL14,upi,107000,321,58,captured,2025-04-12T15:46:06,setl_0FBE9u5sltsNRb
pay_zdl6TGGPBoWqMs,order_kMzKNcg1tI6Zy2,upi,1185400,3556,640,captured,2025-04-12T08:15:40,setl_0FBE9u5sltsNRb
pay_H8dDkQl1z3zxay,order_vgy6VRH3Kxvnf1,upi,236400,709,128,captured,2025-04-12T21:32:48,setl_0FBE9u5sltsNRb
pay_EpxvlPjcAX4QE7,order_EqV2yfLElhXCGM,upi,11600,35,6,captured,2025-04-12T18:23:09,setl_0FBE9u5sltsNRb
pay_ze1izuM029soIP,order_eFMGVw0Dpaip1h,upi,1596800,4790,862,captured,2025-04-12T07:34:41,setl_0FBE9u5sltsNRb
pay_jTbLgGo5D6Ssah,order_chsqu8KXBdAQuB,upi,130700,392,71,captured,2025-04-12T15:56:56,setl_0FBE9u5sltsNRb
pay_ckpv8p8IxwrUfK,order_CxiYCEhSpMjQuy,upi,14488,43,8,captured,2025-04-12T18:50:30,setl_0FBE9u5sltsNRb
pay_ZMmdVGYsYG9ObV,order_CxiYCEhSpMjQuy,upi,14488,43,8,failed,2025-04-12T09:17:37,
pay_is09Tch1icaw3V,order_O7aZMwuISJNAoA,upi,68300,205,37,captured,2025-04-12T09:01:20,setl_0FBE9u5sltsNRb
pay_nIQuLvjEydpzqc,order_O7aZMwuISJNAoA,upi,68300,205,37,failed,2025-04-12T07:09:47,
pay_UlOozLiGLhUjMq,order_4CfGjyxHEwN6aJ,upi,234700,704,127,captured,2025-04-13T11:11:47,setl_utH7TUeG0gEJ1L
pay_KrDrKX9CGlzJJP,order_fsYDfBpUP2UVRM,upi,1336100,4008,721,captured,2025-04-13T07:26:42,setl_utH7TUeG0gEJ1L
pay_JlhFW2Q7mK4xlC,order_8nGl2IVcRuqVdX,card,1444000,28880,5198,captured,2025-04-13T10:02:54,setl_utH7TUeG0gEJ1L
pay_8UazGDb7GzKkji,order_2FDBqj4RZy3KNf,wallet,191900,3838,691,captured,2025-04-13T11:38:37,setl_utH7TUeG0gEJ1L
pay_AFKSNKxHxPVxgi,order_pCBfDUvZQDdnKS,upi,25700,77,14,captured,2025-04-14T22:14:48,setl_Dk5U8rfriBjFJ6
pay_R8GLNuEZ6c47H9,order_pdrDaQGwik8nQw,upi,1308100,3924,706,captured,2025-04-14T18:09:29,setl_Dk5U8rfriBjFJ6
pay_GF08TxUsnAaX7N,order_KG12TVvloonI1C,netbanking,13800,235,42,captured,2025-04-14T14:54:36,setl_Dk5U8rfriBjFJ6
pay_I788g7SiRXEqoJ,order_V2aarmCnqlSpRT,upi,26900,81,15,captured,2025-04-14T08:32:53,setl_Dk5U8rfriBjFJ6
pay_VdhCkFL6Mk68Fk,order_qnTASqCxB62Cj7,card,962300,19246,3464,captured,2025-04-14T15:24:55,setl_Dk5U8rfriBjFJ6
pay_LmUZLwLiKjSM6R,order_ZbopjUKP2ySZ81,upi,487700,1463,263,captured,2025-04-14T22:13:02,setl_Dk5U8rfriBjFJ6
pay_L6SmtlsnREbdgr,order_tNmxHgK0ukOHsw,card,73300,1466,264,captured,2025-04-14T08:25:48,setl_Dk5U8rfriBjFJ6
pay_Kd6xgHRkR3JRYI,order_CM1ie60kEzff5k,card,742200,14844,2672,captured,2025-04-15T10:57:52,setl_DtMhpTeCpqat4j
pay_bPfP5enEtKN6l9,order_zQRzEdbY0q53ts,upi,13000,39,7,captured,2025-04-15T13:49:08,setl_DtMhpTeCpqat4j
pay_sIs99ZS9DlSskB,order_PcBnMixMnZFbtr,card,97100,1942,350,captured,2025-04-15T22:13:29,setl_DtMhpTeCpqat4j
pay_uv1r9z0NyFF4Pa,order_GkWyCZf1j29l4B,upi,252600,758,136,captured,2025-04-15T17:22:19,setl_DtMhpTeCpqat4j
pay_ndKKo41qKWHE3d,order_PYdUpZOvwUT9Q2,upi,2551800,7655,1378,captured,2025-04-15T19:35:47,setl_DtMhpTeCpqat4j
pay_Ff9oQ7k7ou4q80,order_UbZy2g23ru9u45,netbanking,98400,1673,301,captured,2025-04-15T10:31:53,setl_DtMhpTeCpqat4j
pay_5zoJkG0L0bIWXz,order_v30XYYPYL9mavd,upi,1875981,5628,1013,captured,2025-04-15T12:42:23,setl_DtMhpTeCpqat4j
pay_MTLtwmVTdp6avQ,order_ncy5PqHyLvwwW6,netbanking,83200,1414,255,refunded,2025-04-15T15:52:53,
pay_mZBk1uO32DEpWS,order_YogCIwJJPxOT50,card,176800,3536,636,captured,2025-04-15T20:04:11,setl_DtMhpTeCpqat4j
pay_2BfNJ8f7VbpJYd,order_nQkj7JTj65tSka,wallet,10600,212,38,captured,2025-04-16T20:52:20,setl_GUsll3DsbB1Rs0
pay_AozWjCXQiehzqV,order_cP2HVO5OPOR4A0,card,59800,1196,215,captured,2025-04-16T11:31:16,setl_GUsll3DsbB1Rs0
pay_j0baHFcKK0KKkX,order_Jd6p1iPeeukn7g,netbanking,275300,4680,842,captured,2025-04-16T16:11:35,setl_GUsll3DsbB1Rs0
pay_3GXbe9UAeMh2U1,order_QfqdVgEVl4m65S,card,20000,400,72,captured,2025-04-16T07:20:24,setl_GUsll3DsbB1Rs0
pay_VeWrhbq7YdrNIP,order_0uUjLDuX4e6nt2,upi,48000,144,26,captured,2025-04-16T18:59:44,setl_GUsll3DsbB1Rs0
pay_zQjnI5OFFYx5G7,order_AtEgeMwqu3uh7m,card,62000,1240,223,captured,2025-04-16T08:29:29,setl_GUsll3DsbB1Rs0
pay_0tY2CtXG6lwm0c,order_pUiclBzKztc3Dx,card,15200,304,55,captured,2025-04-16T10:09:30,setl_GUsll3DsbB1Rs0
pay_tNti0uT52fWjDH,order_cSWrPKLYPk8o8z,upi,26900,81,15,captured,2025-04-17T13:00:13,setl_5T86fXM2jkT4SW
pay_5utxYeuqoBqHdI,order_w0eXz9xaWFNEcS,upi,961700,2885,519,captured,2025-04-17T19:44:55,setl_5T86fXM2jkT4SW
pay_RwD5wq4vkuSdlW,order_qWhkBLY61Eg7uB,card,53600,1072,193,captured,2025-04-17T08:26:39,setl_5T86fXM2jkT4SW
pay_xNarhm3WN33eSs,order_SfCWPkKkBzzd8n,upi,174300,523,94,captured,2025-04-17T22:12:04,setl_5T86fXM2jkT4SW
pay_51gIdS1TzIvZOp,order_YRKCYa5bBXPh8g,upi,177600,533,96,refunded,2025-04-17T07:40:15,
pay_hVM2eb6kq0tBr6,order_L5xzyNoLo6PwHV,upi,39500,119,21,captured,2025-04-17T17:51:03,setl_5T86fXM2jkT4SW
pay_1pf4GiZxC0XSxD,order_8KhuCq0N6C9g5n,card,252600,5052,909,captured,2025-04-17T09:26:14,setl_5T86fXM2jkT4SW
pay_uN0JpnwCErn1md,order_IGb3H8pqaD78Ed,upi,21700,65,12,captured,2025-04-17T14:51:27,setl_5T86fXM2jkT4SW
pay_lF2uNGkVWMB9x5,order_uu2s7GXR89ZZzV,upi,19400,58,10,captured,2025-04-17T19:33:15,setl_5T86fXM2jkT4SW
pay_ZMYZ1cKWYJOo6I,order_Ke349GMy77XpFI,card,796100,15922,2866,captured,2025-04-18T19:15:42,setl_wT4swNh5Fhe3UG
pay_IDLbGYhDrfCRg5,order_H369yATDLo57gY,wallet,57900,1158,208,captured,2025-04-18T09:31:42,setl_wT4swNh5Fhe3UG
pay_W5oAkLYBOJl8Oi,order_ePB4MaO4flz5LZ,upi,674837,2025,365,captured,2025-04-18T15:48:51,setl_8pP0jsNW2pzlVX
pay_rJjqVt5S1zHYgD,order_1axssxED4uEuTn,card,309500,6190,1114,captured,2025-04-18T11:52:37,setl_wT4swNh5Fhe3UG
pay_0ypEPYlWsrS9j1,order_Btjj4VJeAyZuC9,upi,702200,2107,379,captured,2025-04-18T18:53:03,setl_8pP0jsNW2pzlVX
pay_6JTTuTgCJUHNlt,order_GijJr1BV0Yz94X,card,367400,7348,1323,captured,2025-04-18T20:11:25,setl_wT4swNh5Fhe3UG
pay_xFTyx0fyWZa8IP,order_fJOAKN2UhFH7zD,wallet,506500,10130,1823,captured,2025-04-18T12:18:37,setl_wT4swNh5Fhe3UG
pay_fPI3ldp12f6YRR,order_icCJWqZodpZjwj,upi,1928900,5787,1042,captured,2025-04-18T17:05:10,setl_8pP0jsNW2pzlVX
pay_O6TQyd1i7cH8Sa,order_IClENRxqApEg6Z,upi,400835,1203,217,captured,2025-04-18T07:23:01,setl_8pP0jsNW2pzlVX
pay_UCjhijYuTea5jK,order_udwKtGs51O51Yb,upi,2046900,6141,1105,captured,2025-04-18T11:53:21,setl_8pP0jsNW2pzlVX
pay_StyaEPfSEcOaJO,order_H5kBWd1D1NdDGD,card,18300,366,66,captured,2025-04-19T13:26:24,setl_4OpHP9sP7QT5bE
pay_a32DU64RqShKto,order_vzpGtsEHMRQJ1S,netbanking,2981400,50684,9123,captured,2025-04-19T12:43:41,setl_4OpHP9sP7QT5bE
pay_9mvMr4b7guKQxc,order_NLo7ckX1VUzhch,card,10600,212,38,captured,2025-04-19T19:18:19,setl_4OpHP9sP7QT5bE
pay_rn8sOyKqDUa63g,order_J9PmFQvmI9dREG,upi,28800,86,15,captured,2025-04-19T15:11:12,setl_4OpHP9sP7QT5bE
pay_3HCIR5yz4cskWO,order_G22adoTxa1guBe,upi,136581,410,74,captured,2025-04-19T19:39:41,setl_4OpHP9sP7QT5bE
pay_bpniRXVNv1LKXl,order_1PP5rwKTXaSJlZ,upi,877601,2633,474,captured,2025-04-19T14:35:04,setl_4OpHP9sP7QT5bE
pay_HLGTSX5m8mnBfD,order_D92B30P8ZCP5P5,upi,10500,32,6,captured,2025-04-19T16:01:29,setl_4OpHP9sP7QT5bE
pay_veGkKKcFeY9LW9,order_wdjwj5uggWcC7p,upi,38700,116,21,captured,2025-04-19T12:55:38,setl_4OpHP9sP7QT5bE
pay_zIYAcUiB8trcb0,order_ULYeQL99HIgxE8,upi,216700,650,117,captured,2025-04-19T07:00:46,setl_4OpHP9sP7QT5bE
pay_ZWF6ZJbcEHd1vq,order_GmL1gvOKoRrJz9,card,425100,8502,1530,captured,2025-04-19T16:27:13,setl_4OpHP9sP7QT5bE
pay_e8PRULoOpBg0A1,order_aZ4pfcBIoIKe7a,upi,2182000,6546,1178,captured,2025-04-19T17:55:46,setl_4OpHP9sP7QT5bE
pay_Xfr1KT8TJ72dEG,order_zA05bOczPj83h1,upi,596300,1789,322,captured,2025-04-20T14:28:42,setl_KLPbndxwBDidoL
pay_Czcqnfx9kukPtf,order_aZM21e1kAy4Pe2,upi,1608400,4825,869,captured,2025-04-20T08:39:14,setl_KLPbndxwBDidoL
pay_dbGNTK34MozWTn,order_uZx2J17j8StHiL,card,295358,5907,1063,captured,2025-04-20T20:25:21,setl_KLPbndxwBDidoL
pay_WvqeXi427HCQem,order_nS2fltIsKqYjKN,upi,2071100,6213,1118,captured,2025-04-20T09:21:03,setl_KLPbndxwBDidoL
pay_cgDlbyB39BBhhk,order_24ZcSWkFddOsN2,upi,183100,549,99,captured,2025-04-20T19:52:43,setl_KLPbndxwBDidoL
pay_8xoEclzIhN0zIS,order_5xwShLhjp7CKFU,upi,680500,2042,368,captured,2025-04-20T15:12:46,setl_KLPbndxwBDidoL
pay_jHUDbWl3Ntk44D,order_BkWBARFu5b3UKS,upi,17871,54,10,captured,2025-04-20T08:01:34,setl_KLPbndxwBDidoL
pay_j2m8RdJVqYgzGY,order_EOvRw21hX7BowT,card,25600,512,92,captured,2025-04-21T10:20:35,setl_xBGj7NdtKtOoK4
pay_8ATw6dptK3QJ44,order_4kb7nVYva7Xd95,card,822500,16450,2961,captured,2025-04-21T17:14:28,setl_xBGj7NdtKtOoK4
pay_92KIXCCdu4vbxI,order_4kb7nVYva7Xd95,card,822500,16450,2961,failed,2025-04-21T16:38:02,
pay_0g4J2NaB0LA4sX,order_S0XcyTLh6vIhEV,upi,80800,242,44,captured,2025-04-21T10:43:23,setl_xBGj7NdtKtOoK4
pay_MPOl9U7CLYzeM9,order_0GKbP3xUcRbDvm,card,943200,18864,3396,captured,2025-04-21T15:21:09,setl_xBGj7NdtKtOoK4
pay_tt8wKNzsRko02S,order_Q2f3YKxTsjsBeO,upi,1201500,3605,649,captured,2025-04-21T07:53:32,setl_xBGj7NdtKtOoK4
