txn_id,txn_date,value_date,narration,ref_no,debit_amount,credit_amount,balance
BANK000043,15/04/2025,15/04/2025,POS 4287XXXXXX INDIAN OIL-55124,,"2,272.57",,"12,83,204.48"
BANK000044,15/04/2025,15/04/2025,IMPS-P2A-COURIER DTDC-54611,,"2,601.09",,"12,80,603.39"
BANK000045,15/04/2025,15/04/2025,ACH-D-LIC PREMIUM-48841,,"36,000.00",,"12,44,603.39"
BANK000046,16/04/2025,16/04/2025,NEFT CR-UTIB634682506625-RAZORPAY SOFTWARE PVT LTD,NEFTIN57073049,,"28,665.40","12,73,268.79"
BANK000047,16/04/2025,16/04/2025,IMPS-P2A-COURIER DTDC-43515,,584.36,,"12,72,684.43"
BANK000048,16/04/2025,16/04/2025,POS 4287XXXXXX INDIAN OIL-77941,,"4,455.55",,"12,68,228.88"
BANK000049,17/04/2025,17/04/2025,RTGS-YESB920186045021-RAZORPAY SOFTWARE PL-SETL,YESB920186045021,,"57,653.13","13,25,882.01"
BANK000050,17/04/2025,17/04/2025,UPI-SWIGGY INSTAMART-84877@ybl,,940.73,,"13,24,941.28"
BANK000051,17/04/2025,17/04/2025,IMPS-P2A-COURIER DTDC-12287,,"2,514.63",,"13,22,426.65"
BANK000052,18/04/2025,18/04/2025,NEFT CR 4498540099 RAZORPAY SOFTWARE,NEFTIN60011927,,"4,812.53","13,27,239.18"
BANK000053,19/04/2025,19/04/2025,BY TRANSFER-NEFT*IDFB979387312093*RAZORPAY,NEFTIN21595376,,"15,380.72","13,42,619.90"
BANK000054,19/04/2025,19/04/2025,UPI-SWIGGY INSTAMART-47290@ybl,,"1,880.88",,"13,40,739.02"
BANK000055,19/04/2025,19/04/2025,UPI-SWIGGY INSTAMART-79009@ybl,,"1,987.02",,"13,38,752.00"
BANK000056,21/04/2025,21/04/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN56282623,,"19,893.18","13,58,645.18"
BANK000057,21/04/2025,21/04/2025,NEFT CR-YESB370235410520-RAZORPAY SOFTWARE PVT LTD,YESB370235410520,,"57,333.01","14,15,978.19"
BANK000058,21/04/2025,21/04/2025,NEFT DR-VISTAPRINT MARKETING-39227,,854.47,,"14,15,123.72"
BANK000059,21/04/2025,21/04/2025,GST PAYMENT-CBIC-10523,,"41,570.00",,"13,73,553.72"
BANK000060,22/04/2025,22/04/2025,BY CASH DEPOSIT-BRANCH 70319,,,"20,117.33","13,93,671.05"
BANK000061,22/04/2025,22/04/2025,NEFT CR 774563641292 RAZORPAY SOFTWARE,NEFTIN40248063,,"54,274.01","14,47,945.06"
BANK000062,22/04/2025,22/04/2025,IMPS-P2A-COURIER DTDC-71218,,785.24,,"14,47,159.82"
BANK000063,22/04/2025,22/04/2025,IMPS-P2A-FREELANCE DESIGN-23397,,"2,649.38",,"14,44,510.44"
BANK000064,24/04/2025,24/04/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN00917711,,"31,506.56","14,76,017.00"
BANK000065,24/04/2025,24/04/2025,POS 4287XXXXXX BIG BAZAAR-25347,,"2,678.94",,"14,73,338.06"
BANK000066,24/04/2025,24/04/2025,UPI-MAKEMYTRIP HOLIDAYS-50210@okhdfc,,"5,617.46",,"14,67,720.60"
BANK000067,25/04/2025,25/04/2025,NEFT-IDFB381195482906-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,IDFB381195482906,,"24,767.17","14,92,487.77"
BANK000068,25/04/2025,25/04/2025,POS 4287XXXXXX INDIAN OIL-52489,,"1,560.32",,"14,90,927.45"
BANK000069,25/04/2025,25/04/2025,POS 4287XXXXXX INDIAN OIL-17818,,"2,669.06",,"14,88,258.39"
BANK000070,26/04/2025,26/04/2025,BY TRANSFER-NEFT*YESB090583468207*RAZORPAY,NEFTIN11886787,,"8,719.24","14,96,977.63"
BANK000071,26/04/2025,26/04/2025,NEFT DR-VISTAPRINT MARKETING-90721,,838.35,,"14,96,139.28"
BANK000072,26/04/2025,26/04/2025,POS 4287XXXXXX BIG BAZAAR-44406,,"2,441.90",,"14,93,697.38"
BANK000073,26/04/2025,26/04/2025,IMPS-P2A-FREELANCE DESIGN-60785,,"2,872.08",,"14,90,825.30"
BANK000074,28/04/2025,28/04/2025,RTGS-YESB055454219969/2-RAZORPAY SOFTWARE PL-PART,YESB055454219969,,"10,408.84","15,01,234.14"
BANK000075,28/04/2025,28/04/2025,RTGS-YESB055454219969/1-RAZORPAY SOFTWARE PL-PART,YESB055454219969,,"10,833.69","15,12,067.83"
BANK000076,28/04/2025,28/04/2025,NEFT CR-HDFC827716747980-RAZORPAY SOFTWARE PVT LTD,NEFTIN63323983,,"12,265.33","15,24,333.16"
BANK000077,28/04/2025,28/04/2025,NEFT CR-SBIN948395736585-RAZORPAY SOFTWARE PVT LTD,SBIN948395736585,,"20,707.72","15,45,040.88"
BANK000078,28/04/2025,28/04/2025,NEFT-KKBK605390458528-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN36688014,,"51,721.40","15,96,762.28"
BANK000079,28/04/2025,28/04/2025,POS 4287XXXXXX BIG BAZAAR-30012,,443.69,,"15,96,318.59"
BANK000080,28/04/2025,28/04/2025,UPI-SWIGGY INSTAMART-89329@ybl,,"1,795.76",,"15,94,522.83"
BANK000081,28/04/2025,28/04/2025,POS 4287XXXXXX BIG BAZAAR-65788,,"2,161.42",,"15,92,361.41"
BANK000082,29/04/2025,29/04/2025,RTGS-YESB303902071067-RAZORPAY SOFTWARE PL-SETL,YESB303902071067,,"53,601.33","16,45,962.74"
BANK000083,29/04/2025,29/04/2025,NEFT DR-VISTAPRINT MARKETING-36868,,"1,127.57",,"16,44,835.17"
BANK000084,30/04/2025,30/04/2025,NEFT CR-FLIPKART WHOLESALE REFUND-3796,,,"28,066.81","16,72,901.98"
BANK000085,30/04/2025,30/04/2025,RTGS-YESB303902071067-RAZORPAY SOFTWARE PL-SETL,YESB303902071067,,"53,601.33","17,26,503.31"
BANK000086,30/04/2025,30/04/2025,NEFT CR-KKBK621059095225-RAZORPAY SOFTWARE PVT LTD,NEFTIN35279761,,"83,513.06","18,10,016.37"
BANK000087,30/04/2025,30/04/2025,POS 4287XXXXXX BIG BAZAAR-55220,,"2,536.52",,"18,07,479.85"
BANK000088,30/04/2025,30/04/2025,IMPS-P2A-COURIER DTDC-96986,,"2,974.60",,"18,04,505.25"
BANK000089,01/05/2025,01/05/2025,BY CASH DEPOSIT-BRANCH 44408,,,"21,477.87","18,25,983.12"
BANK000090,01/05/2025,01/05/2025,NEFT-IDFB273977416701-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN66573038,,"30,444.80","18,56,427.92"
BANK000091,01/05/2025,01/05/2025,POS 4287XXXXXX INDIAN OIL-35923,,"3,417.19",,"18,53,010.73"
BANK000092,01/05/2025,01/05/2025,NEFT DR-URBAN LADDER RENT-72175,,"55,000.00",,"17,98,010.73"
BANK000093,01/05/2025,01/05/2025,SAL-NEFT-STAFF PAYROLL-53790,,"4,27,459.53",,"13,70,551.20"
BANK000094,02/05/2025,02/05/2025,RTGS-SBIN006070491794/1-RAZORPAY SOFTWARE PL-PART,SBIN006070491794,,"13,478.22","13,84,029.42"
BANK000095,02/05/2025,02/05/2025,RTGS-SBIN006070491794/2-RAZORPAY SOFTWARE PL-PART,SBIN006070491794,,"20,217.35","14,04,246.77"
BANK000096,02/05/2025,02/05/2025,NEFT-UTIB654634670354-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN29708455,,"30,424.05","14,34,670.82"
BANK000097,03/05/2025,03/05/2025,NEFT-UTIB292366933302-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN52472958,,"45,506.58","14,80,177.40"
BANK000098,05/05/2025,05/05/2025,NEFT CR-FLIPKART WHOLESALE REFUND-13620,,,"6,560.04","14,86,737.44"
BANK000099,05/05/2025,05/05/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN09400431,,"58,217.83","15,44,955.27"
BANK000100,05/05/2025,05/05/2025,BY TRANSFER-NEFT*ICIC532653674608*RAZORPAY,NEFTIN27759346,,"81,388.62","16,26,343.89"
BANK000101,05/05/2025,05/05/2025,IMPS-P2A-COURIER DTDC-40072,,"2,064.34",,"16,24,279.55"
BANK000102,05/05/2025,05/05/2025,IMPS-P2A-FREELANCE DESIGN-42399,,"2,804.83",,"16,21,474.72"
BANK000103,05/05/2025,05/05/2025,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV20157,,"18,588.29",,"16,02,886.43"
BANK000104,06/05/2025,06/05/2025,NEFT CR 7825467879 RAZORPAY SOFTWARE,NEFTIN10993893,,"61,094.88","16,63,981.31"
BANK000105,06/05/2025,06/05/2025,IMPS-P2A-FREELANCE DESIGN-43581,,"2,776.22",,"16,61,205.09"
BANK000106,06/05/2025,06/05/2025,POS 4287XXXXXX INDIAN OIL-64597,,"3,555.73",,"16,57,649.36"
BANK000107,06/05/2025,06/05/2025,POS 4287XXXXXX INDIAN OIL-58734,,"4,014.99",,"16,53,634.37"
BANK000108,07/05/2025,07/05/2025,BY CASH DEPOSIT-BRANCH 90305,,,"1,246.93","16,54,881.30"
BANK000109,07/05/2025,07/05/2025,NEFT-ICIC178127710898-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN79854982,,"30,050.18","16,84,931.48"
BANK000110,07/05/2025,07/05/2025,TDS PAYMENT-CBDT-64618,,"41,999.00",,"16,42,932.48"
BANK000111,08/05/2025,08/05/2025,RTGS-YESB749203914327-RAZORPAY SOFTWARE PL-SETL,NEFTIN16507846,,"49,168.67","16,92,101.15"
BANK000112,08/05/2025,08/05/2025,UPI-MAKEMYTRIP HOLIDAYS-49707@okhdfc,,"5,068.17",,"16,87,032.98"
BANK000113,09/05/2025,09/05/2025,RTGS-SBIN073136344150/1-RAZORPAY SOFTWARE PL-PART,SBIN073136344150,,"10,359.49","16,97,392.47"
BANK000114,09/05/2025,09/05/2025,RTGS-SBIN073136344150/2-RAZORPAY SOFTWARE PL-PART,SBIN073136344150,,"13,732.37","17,11,124.84"
BANK000115,09/05/2025,09/05/2025,IMPS-P2A-FREELANCE DESIGN-97428,,"4,624.34",,"17,06,500.50"
BANK000116,10/05/2025,10/05/2025,RTGS-HDFC550245324033-RAZORPAY SOFTWARE PL-SETL,HDFC550245324033,,"16,047.12","17,22,547.62"
BANK000117,10/05/2025,10/05/2025,NEFT CR-ICIC353561822370-RAZORPAY SOFTWARE PVT LTD,NEFTIN96224611,,"50,298.15","17,72,845.77"
BANK000118,12/05/2025,12/05/2025,NEFT CR-FLIPKART WHOLESALE REFUND-21271,,,"1,209.89","17,74,055.66"
BANK000119,12/05/2025,12/05/2025,RTGS-IDFB355976451394-RAZORPAY SOFTWARE PL-SETL,NEFTIN53060949,,"12,229.41","17,86,285.07"
BANK000120,12/05/2025,12/05/2025,BY TRANSFER-NEFT*ICIC443196230454*RAZORPAY,NEFTIN30341355,,"27,071.63","18,13,356.70"
BANK000121,12/05/2025,12/05/2025,NEFT-HDFC447198916727-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN16220041,,"28,454.46","18,41,811.16"
BANK000122,12/05/2025,12/05/2025,BY TRANSFER-NEFT*YESB277710810285*RAZORPAY,NEFTIN86194669,,"50,326.13","18,92,137.29"
BANK000123,12/05/2025,12/05/2025,UPI-SWIGGY INSTAMART-40450@ybl,,"2,389.74",,"18,89,747.55"
BANK000124,12/05/2025,12/05/2025,UPI-BHARTI AIRTEL-54558@icici,,"2,499.00",,"18,87,248.55"
BANK000125,13/05/2025,13/05/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN98520082,,"23,745.06","19,10,993.61"
BANK000126,14/05/2025,14/05/2025,NEFT CR 305708876417 RAZORPAY SOFTWARE,NEFTIN13868852,,"57,263.42","19,68,257.03"
BANK000127,14/05/2025,14/05/2025,IMPS-P2A-COURIER DTDC-89757,,"1,609.22",,"19,66,647.81"
BANK000128,14/05/2025,14/05/2025,IMPS-P2A-FREELANCE DESIGN-39573,,"2,632.41",,"19,64,015.40"
BANK000129,15/05/2025,15/05/2025,RTGS-YESB359155754026-RAZORPAY SOFTWARE PL-SETL,NEFTIN70513008,,"33,891.09","19,97,906.49"
BANK000130,15/05/2025,15/05/2025,NEFT DR-VISTAPRINT MARKETING-33543,,"1,161.87",,"19,96,744.62"
BANK000131,15/05/2025,15/05/2025,UPI-SWIGGY INSTAMART-69343@ybl,,"1,640.02",,"19,95,104.60"
BANK000132,16/05/2025,16/05/2025,NEFT CR-UTIB021959861136-RAZORPAY SOFTWARE PVT LTD,UTIB021959861136,,"19,523.35","20,14,627.95"
BANK000133,16/05/2025,16/05/2025,NEFT DR-VISTAPRINT MARKETING-75803,,414.05,,"20,14,213.90"
BANK000134,16/05/2025,16/05/2025,UPI-SWIGGY INSTAMART-39786@ybl,,"1,541.05",,"20,12,672.85"
BANK000135,17/05/2025,17/05/2025,RTGS-YESB350347883667/1-RAZORPAY SOFTWARE PL-PART,YESB350347883667,,"13,924.63","20,26,597.48"
BANK000136,17/05/2025,17/05/2025,NEFT-HDFC442018994762-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,HDFC442018994762,,"15,786.29","20,42,383.77"
BANK000137,17/05/2025,17/05/2025,NEFT CR-UTIB021959861136-RAZORPAY SOFTWARE PVT LTD,UTIB021959861136,,"19,523.35","20,61,907.12"
BANK000138,17/05/2025,17/05/2025,RTGS-YESB350347883667/2-RAZORPAY SOFTWARE PL-PART,YESB350347883667,,"21,779.56","20,83,686.68"
BANK000139,17/05/2025,17/05/2025,BY TRANSFER-NEFT*ICIC389125969004*RAZORPAY,NEFTIN14225684,,"33,913.53","21,17,600.21"
BANK000140,17/05/2025,17/05/2025,UPI-BLUEDART EXPRESS-19969@paytm,,391.89,,"21,17,208.32"
BANK000141,17/05/2025,17/05/2025,UPI-BLUEDART EXPRESS-42549@paytm,,"1,765.83",,"21,15,442.49"
BANK000142,17/05/2025,17/05/2025,IMPS-P2A-COURIER DTDC-11901,,"2,307.43",,"21,13,135.06"
BANK000143,19/05/2025,19/05/2025,BY TRANSFER-NEFT*KKBK536945410731*RAZORPAY,KKBK536945410731,,"22,388.58","21,35,523.64"
BANK000144,19/05/2025,19/05/2025,RTGS-HDFC116564598856-RAZORPAY SOFTWARE PL-SETL,HDFC116564598856,,"32,675.31","21,68,198.95"
BANK000145,19/05/2025,19/05/2025,NEFT CR-UTIB248820558934-RAZORPAY SOFTWARE PVT LTD,NEFTIN76464863,,"71,122.60","22,39,321.55"
BANK000146,19/05/2025,19/05/2025,UPI-BLUEDART EXPRESS-41121@paytm,,554.75,,"22,38,766.80"
BANK000147,19/05/2025,19/05/2025,UPI-MAKEMYTRIP HOLIDAYS-67068@okhdfc,,"3,219.66",,"22,35,547.14"
BANK000148,19/05/2025,19/05/2025,POS 4287XXXXXX INDIAN OIL-56408,,"5,002.60",,"22,30,544.54"
BANK000149,20/05/2025,20/05/2025,NEFT CR-KKBK160487464340-RAZORPAY SOFTWARE PVT LTD,NEFTIN92191952,,"26,639.49","22,57,184.03"
BANK000150,20/05/2025,20/05/2025,NEFT CR-UTIB248820558934-RAZORPAY SOFTWARE PVT LTD,NEFTIN76464863,,"71,122.60","23,28,306.63"
BANK000151,20/05/2025,20/05/2025,UPI-SWIGGY INSTAMART-68902@ybl,,390.64,,"23,27,915.99"
BANK000152,20/05/2025,20/05/2025,UPI-BLUEDART EXPRESS-86418@paytm,,656.90,,"23,27,259.09"
BANK000153,20/05/2025,20/05/2025,GST PAYMENT-CBIC-93743,,"39,900.00",,"22,87,359.09"
BANK000154,21/05/2025,21/05/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN37453302,,"26,641.61","23,14,000.70"
BANK000155,21/05/2025,21/05/2025,INT.PD:SB ACCOUNT-17693,,,"26,939.12","23,40,939.82"
BANK000156,21/05/2025,21/05/2025,UPI-BLUEDART EXPRESS-76756@paytm,,"1,866.93",,"23,39,072.89"
BANK000157,21/05/2025,21/05/2025,IMPS-P2A-COURIER DTDC-36240,,"2,480.38",,"23,36,592.51"
BANK000158,22/05/2025,22/05/2025,NEFT-IDFB-5726 8198 4183-RAZORPAY SOFTWARE PVT LTD,NEFTIN13789630,,"20,434.84","23,57,027.35"
BANK000159,23/05/2025,23/05/2025,NEFT CR-AXIS BANK-EXPORT INCENTIVE DGFT-80763,,,"25,026.42","23,82,053.77"
BANK000160,23/05/2025,23/05/2025,NEFT-KKBK764506431034-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN78196229,,"92,578.47","24,74,632.24"
BANK000161,23/05/2025,23/05/2025,UPI-SWIGGY INSTAMART-44463@ybl,,745.37,,"24,73,886.87"
BANK000162,23/05/2025,23/05/2025,IMPS-P2A-COURIER DTDC-17956,,877.64,,"24,73,009.23"
BANK000163,23/05/2025,23/05/2025,POS 4287XXXXXX BIG BAZAAR-35094,,"2,745.78",,"24,70,263.45"
BANK000164,24/05/2025,24/05/2025,RTGS-KKBK384592154889-RAZORPAY SOFTWARE PL-SETL,KKBK384592154889,,"45,292.14","25,15,555.59"
BANK000165,24/05/2025,24/05/2025,POS 4287XXXXXX BIG BAZAAR-30116,,622.85,,"25,14,932.74"
BANK000166,24/05/2025,24/05/2025,POS 4287XXXXXX BIG BAZAAR-48993,,"2,131.95",,"25,12,800.79"
BANK000167,24/05/2025,24/05/2025,POS 4287XXXXXX INDIAN OIL-99035,,"2,276.74",,"25,10,524.05"
BANK000168,26/05/2025,26/05/2025,NEFT-HDFC824333429010-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN16242407,,"2,825.95","25,13,350.00"
BANK000169,26/05/2025,26/05/2025,RTGS-ICIC282956907597-RAZORPAY SOFTWARE PL-SETL,ICIC282956907597,,"33,880.24","25,47,230.24"
BANK000170,26/05/2025,26/05/2025,BY TRANSFER-NEFT*UTIB926318053198*RAZORPAY,NEFTIN49326161,,"40,995.31","25,88,225.55"
BANK000171,26/05/2025,26/05/2025,UPI-BLUEDART EXPRESS-35335@paytm,,424.94,,"25,87,800.61"
BANK000172,26/05/2025,26/05/2025,IMPS-P2A-COURIER DTDC-44213,,"2,504.62",,"25,85,295.99"
BANK000173,26/05/2025,26/05/2025,UPI-MAKEMYTRIP HOLIDAYS-37705@okhdfc,,"3,502.94",,"25,81,793.05"
BANK000174,27/05/2025,27/05/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN91058867,,"11,423.74","25,93,216.79"
BANK000175,27/05/2025,27/05/2025,POS 4287XXXXXX BIG BAZAAR-83685,,960.18,,"25,92,256.61"
BANK000176,27/05/2025,27/05/2025,UPI-MAKEMYTRIP HOLIDAYS-27842@okhdfc,,"1,910.97",,"25,90,345.64"
BANK000177,27/05/2025,27/05/2025,POS 4287XXXXXX BIG BAZAAR-27718,,"2,279.76",,"25,88,065.88"
BANK000178,28/05/2025,28/05/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN74647373,,"2,831.39","25,90,897.27"
BANK000179,28/05/2025,28/05/2025,NEFT DR-VISTAPRINT MARKETING-78477,,497.35,,"25,90,399.92"
BANK000180,28/05/2025,28/05/2025,POS 4287XXXXXX BIG BAZAAR-94652,,974.28,,"25,89,425.64"
BANK000181,28/05/2025,28/05/2025,POS 4287XXXXXX INDIAN OIL-12971,,"4,760.42",,"25,84,665.22"
BANK000182,29/05/2025,29/05/2025,NEFT-IDFB-6313 3786 1480-RAZORPAY SOFTWARE PVT LTD,NEFTIN35237072,,"11,633.80","25,96,299.02"
BANK000183,29/05/2025,29/05/2025,UPI-BLUEDART EXPRESS-31043@paytm,,887.90,,"25,95,411.12"
BANK000184,29/05/2025,29/05/2025,IMPS-P2A-COURIER DTDC-50862,,"1,673.70",,"25,93,737.42"
BANK000185,29/05/2025,29/05/2025,NEFT DR-VISTAPRINT MARKETING-90975,,"2,205.04",,"25,91,532.38"
BANK000186,30/05/2025,30/05/2025,BY TRANSFER-NEFT*IDFB570723853227*RAZORPAY,IDFB570723853227,,"4,622.57","25,96,154.95"
BANK000187,30/05/2025,30/05/2025,RTGS-SBIN327736301218/2-RAZORPAY SOFTWARE PL-PART,SBIN327736301218,,"28,955.64","26,25,110.59"
BANK000188,30/05/2025,30/05/2025,RTGS-SBIN327736301218/1-RAZORPAY SOFTWARE PL-PART,SBIN327736301218,,"30,137.50","26,55,248.09"
BANK000189,30/05/2025,30/05/2025,UPI-SWIGGY INSTAMART-79090@ybl,,862.16,,"26,54,385.93"
BANK000190,30/05/2025,30/05/2025,UPI-MAKEMYTRIP HOLIDAYS-30495@okhdfc,,"1,470.04",,"26,52,915.89"
BANK000191,30/05/2025,30/05/2025,UPI-MAKEMYTRIP HOLIDAYS-54394@okhdfc,,"4,195.15",,"26,48,720.74"
BANK000192,31/05/2025,31/05/2025,RTGS-KKBK870147575042-RAZORPAY SOFTWARE PL-SETL,NEFTIN25409010,,"1,23,365.36","27,72,086.10"
BANK000193,31/05/2025,31/05/2025,NEFT DR-VISTAPRINT MARKETING-83786,,"2,418.48",,"27,69,667.62"
BANK000194,31/05/2025,31/05/2025,UPI-MAKEMYTRIP HOLIDAYS-17747@okhdfc,,"4,670.43",,"27,64,997.19"
BANK000195,02/06/2025,02/06/2025,RTGS-UTIB367947991052-RAZORPAY SOFTWARE PL-SETL,NEFTIN11689164,,"10,334.46","27,75,331.65"
BANK000196,02/06/2025,02/06/2025,NEFT-SBIN910479333121-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,SBIN910479333121,,"43,489.50","28,18,821.15"
