txn_id,txn_date,value_date,narration,ref_no,debit_amount,credit_amount,balance
REAL000034,22/05/2026,22/05/2026,UPI/650802047485/14:28:09/UPI/user26@ybl/UPI,650802047485,170.00,,"6,199.25"
REAL000035,22/05/2026,22/05/2026,UPI/650822055540/18:34:58/UPI/user27@ybl/UPI,650822055540,100.00,,"6,099.25"
REAL000036,22/05/2026,22/05/2026,UPI/009491793935/19:26:25/UPI/user28@axl/Paym,009491793935,,100.00,"6,199.25"
REAL000037,23/05/2026,23/05/2026,UPI/614348416165/12:00:59/UPI/user29@ybl/UPI,614348416165,50.00,,"6,149.25"
REAL000038,25/05/2026,25/05/2026,UPI/358285875737/16:26:55/UPI/user27@ybl/Paym,358285875737,,100.00,"6,249.25"
REAL000039,03/07/2026,03/07/2026,UPI/618443440795/18:39:22/UPI/user30@axl/UPI,618443440795,800.00,,"41,698.25"
REAL000040,11/07/2026,11/07/2026,UPI/310193593446/17:40:14/UPI/user19@ptyes/Se,310193593446,,"4,500.00","46,198.25"
REAL000041,11/07/2026,11/07/2026,UPI/655864007915/17:44:13/UPI/user19@ptyes/UP,655864007915,"4,500.00",,"41,698.25"
REAL000042,14/07/2026,14/07/2026,UPI/003378897579/09:28:59/UPI/user31@nyes/P,003378897579,,800.00,"42,498.25"
REAL000043,15/07/2026,15/07/2026,UPI/656226920140/12:50:24/UPI/user32@cnrb,656226920140,"20,000.00",,"22,498.25"
REAL000044,20/07/2026,20/07/2026,UPI/620114182333/18:52:51/UPI/user33@okpaya,620114182333,22.00,,"22,476.25"
REAL000045,24/07/2026,24/07/2026,UPI/620510633474/18:28:40/UPI/user34@ybl,620510633474,"1,500.00",,"20,976.25"
REAL000046,26/07/2026,26/07/2026,UPI/126900477590/19:14:01/UPI/user35@okhdfcb,126900477590,,"2,000.00","22,976.25"
REAL000047,31/07/2026,31/07/2026,UPI/657865550765/18:25:02/UPI/user36@oksbi/U,657865550765,50.00,,"22,926.25"
REAL000048,31/07/2026,31/07/2026,UPI/621272374163/18:44:42/UPI/user36@oksbi/U,621272374163,,50.00,"22,976.25"
